dataset_kind,target_id,quarter,trial,selection_group,candidate_period_days,source_detector,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value,raw_candidate_rank,candidate_id,predicted_score,reranked_rank,passes_reranker_global_fap
null,11904151,5,0,reference,5.360120040013338,bls,False,1,True,False,True,False,False,5.360120040013338,,1.0,,2.7046087291817487,,1.0,,,,,0.6341185842722202,0.0,0.2682371685444406,0.5,0.0,1.0,0.2682371685444406,0.5,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.9301745635910225,,0.9523809523809523,1.0,0,0.98743886,1,False
null,11904151,5,1,reference,11.564188062687563,bls,False,1,True,False,True,False,False,11.564188062687563,,1.0,,3.005783196132021,,1.0,,,,,0.32385387639806085,0.0,0.32385387639806085,1.0,0.0,1.0,0.32385387639806085,1.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.8254364089775561,,0.8761904761904762,1.0,2,0.97950804,1,False
null,11904151,5,2,reference,12.824608202734243,bls,False,1,True,False,True,False,False,12.824608202734243,,1.0,,3.789098870278096,,1.0,,,,,0.5218217069599967,0.0,0.23908914652000163,2.0,0.0,1.0,0.23908914652000163,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.4114713216957606,,0.38095238095238093,1.0,4,0.95566505,1,False
null,11904151,5,3,reference,11.895631877292432,bls,False,1,True,False,True,False,False,11.895631877292432,,1.0,,3.4357010293571792,,1.0,,,,,0.3277382857568201,0.0,0.3277382857568201,1.0,0.0,1.0,0.3277382857568201,1.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.6134663341645885,,0.6476190476190476,1.0,6,0.98832035,1,False
null,11904151,5,4,reference,12.371790596865624,bls,False,1,True,False,True,False,False,12.371790596865624,,1.0,,3.7297464011656936,,1.0,,,,,0.4117803736539707,0.0,0.29410981317301466,2.0,0.0,1.0,0.29410981317301466,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.428927680798005,,0.4095238095238095,1.0,8,0.94082654,1,False
null,11904151,5,5,reference,10.915305101700568,bls,False,1,True,False,True,False,False,10.915305101700568,,1.0,,3.7160719280518166,,1.0,,,,,0.20878350615135483,0.0,0.20878350615135483,1.0,0.0,1.0,0.20878350615135483,1.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.4463840399002494,,0.42857142857142855,1.0,10,0.9675684,1,False
null,11904151,5,6,reference,5.122040680226743,bls,False,1,True,False,True,False,False,5.122040680226743,,1.0,,2.3632332372463014,,1.0,,,,,0.6153114121860209,0.0,0.2306228243720418,0.5,0.0,1.0,0.2306228243720418,0.5,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.9850374064837906,,0.9809523809523809,1.0,12,0.95960724,1,False
null,11904151,5,7,reference,10.145048349449818,bls,False,1,True,False,True,False,False,10.145048349449818,,1.0,,2.8047107592190335,,1.0,,,,,0.17687958228498782,0.0,0.17687958228498782,1.0,0.0,1.0,0.17687958228498782,1.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,0,,0.9027431421446384,,0.9333333333333333,1.0,14,0.94398654,1,False
null,757450,5,0,confirmed_planet_host,3.492830943647883,bls,False,1,True,False,True,False,False,3.492830943647883,,1.0,,5.348291912698771,,1.0,,,,,0.6872294049147532,0.0,0.37445880982950636,0.5,0.0,1.0,0.37445880982950636,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.022443890274314215,,0.01904761904761905,1.0,16,0.8671301,1,False
null,757450,5,1,confirmed_planet_host,2.4798266088696233,bls,False,1,True,False,True,False,False,2.4798266088696233,,1.0,,3.0273032182383792,,1.0,,,,,0.821633289363233,0.0,0.6432665787264661,0.5,0.0,1.0,0.6432665787264661,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.8104738154613467,,0.5904761904761905,1.0,18,0.86402786,1,False
