target_id,quarter,selection_group,status,profile,runtime_seconds,light_curve_cache_hit,base_arima_from_cache,original_searches_from_cache,arima_injection_mode,injection_count_requested,injection_count_successful,injection_success_fraction,null_trials_requested,tcf_null_trials_successful,bls_null_trials_successful,base_arima_converged,base_arima_runtime_seconds,original_tcf_runtime_seconds,original_bls_runtime_seconds,original_tcf_period_days,original_tcf_score,original_tcf_raw_pooled_score,original_tcf_valid_transit_events,original_tcf_positive_event_fraction,original_bls_period_days,original_bls_sde,original_bls_power,tcf_harmonic_rank1_rate_before_fap,tcf_exact_rank1_rate_before_fap,tcf_exact_top10_rate,tcf_median_exact_rank_when_present,bls_harmonic_rank1_rate_before_fap,bls_exact_rank1_rate_before_fap,bls_exact_top10_rate,n_grid_observations,n_finite_observations,finite_fraction,gap_fraction,baseline_days,median_cadence_days,median_flux,robust_flux_scatter_ppm,flux_standard_deviation_ppm,lag_one_flux_acf,six_hour_scatter_proxy_ppm,tcf_global_fap_threshold,bls_global_fap_threshold,original_tcf_passes_global_fap,original_bls_passes_global_fap,original_tcf_global_empirical_p_value,original_bls_global_empirical_p_value,noise_quartile
11904151,5,reference,success,optimized,659.5364236249588,False,False,False,filter,18,18,1.0,8,8,8,False,0.7589951658155769,21.572466375073418,0.1505376249551773,2.5125041680560187,16.5159391865428,15.177473819543222,37,1.0,11.722907635878627,3.5729741375372908,0.0017914572851038797,0.9444444444444444,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,4634,4486,0.9680621493310315,0.03193785066896848,94.6510296438355,0.020434164922335185,-1.7674798660272106e-05,123.63222550869293,135.51889017952948,0.8052428510473029,56.98672894551581,16.085275694914447,5.684844459265036,True,False,0.007481296758104738,0.5211970074812967,lowest_scatter
757450,5,confirmed_planet_host,success,optimized,659.3276386251673,False,False,False,filter,18,18,1.0,8,8,8,True,0.1936560831964016,21.199971083085984,0.14667720813304186,8.884628209403136,68.00492181981033,60.92432178087042,11,1.0,8.884628209403136,8.60590415716419,0.08088149763242239,0.0,0.0,0.0,,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65286035832833,0.02043456426690682,8.905215391696863e-05,3652.4689853836817,3677.4542942472426,0.9529528081407053,502.2373859396175,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
1026957,5,confirmed_planet_host,success,optimized,651.3731257920153,False,False,False,filter,18,18,1.0,8,8,8,False,0.4962193330284208,18.1004147909116,0.18499041604809463,14.509836612204069,12.472764822994101,9.190895382290677,6,0.6666666666666666,10.84061353784595,4.16655674771765,0.08300716301708941,0.6666666666666666,0.4444444444444444,0.6666666666666666,1.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65284584075562,0.020434560254216194,-0.0005737463688261224,12515.572525533245,10934.498630739357,0.9998605651518044,113.73504882416344,16.085275694914447,5.684844459265036,False,False,0.032418952618453865,0.256857855361596,highest_scatter
1161345,5,confirmed_planet_host,success,optimized,656.882349959109,False,False,False,filter,18,18,1.0,8,8,8,True,0.686849958030507,21.016538875177503,0.1464894579257816,4.286428809603201,28.693454327144973,25.632205598411904,22,0.9090909090909091,7.806268756252084,10.420864529881225,0.10004950601990431,0.1111111111111111,0.1111111111111111,0.5,4.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65282748322352,0.020434556463442277,-0.0001079662124723324,4174.237095946945,3853.8049461708633,0.9992048337683134,88.50649008806953,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
1432789,5,confirmed_planet_host,success,optimized,654.2143873749301,False,False,False,filter,18,18,1.0,8,8,8,True,0.12103166594170034,19.602495833067223,0.1485863330308348,8.60920306768923,5.730060967912484,4.143258518216899,11,0.8181818181818182,12.133711237079027,2.3322276520774126,0.005410283396513258,0.3333333333333333,0.1111111111111111,0.1111111111111111,1.0,0.6111111111111112,0.6111111111111112,0.8888888888888888,4634,4485,0.9678463530427277,0.0321536469572723,94.65281886872253,0.020434552803635597,-2.0693765549362197e-05,550.6954214538522,828.6176399599666,0.19677439580252415,418.10509246137076,16.085275694914447,5.684844459265036,False,False,1.0,0.9850374064837906,high_scatter
1717722,5,confirmed_planet_host,success,optimized,653.5135223329999,False,False,False,filter,18,18,1.0,8,8,8,True,0.21269174991175532,20.87440308299847,0.16692804195918143,13.258752917639214,6.385551556608527,4.486902744382091,7,0.7142857142857143,12.082360786928977,2.5813832421025658,0.005623264139180105,0.1111111111111111,0.0,0.0,,0.8888888888888888,0.8888888888888888,0.8888888888888888,4634,4485,0.9678463530427277,0.0321536469572723,94.65276076548616,0.020434541744180024,-4.728413450405533e-05,737.9563719446062,766.1852534377164,0.25004022884647775,615.2008523717308,16.085275694914447,5.684844459265036,False,False,0.7206982543640897,0.9476309226932669,high_scatter
1718958,5,confirmed_planet_host,success,optimized,366.8127302089706,False,False,False,filter,18,18,1.0,8,8,8,True,0.33764554210938513,20.373773999977857,0.16003766586072743,13.0486828942981,6.392994634609615,4.9510195309984395,7,1.0,9.379459819939981,6.044101163072778,0.036897535522960774,0.9444444444444444,0.5555555555555556,0.6666666666666666,1.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65277207104373,0.02043454340309836,-8.676849398314701e-05,1424.2388676234768,1788.710317379607,0.9947431200159739,111.53175896129349,16.085275694914447,5.684844459265036,False,True,0.713216957605985,0.004987531172069825,highest_scatter
1725016,5,confirmed_planet_host,success,optimized,372.83264879113995,False,False,False,filter,18,18,1.0,8,8,8,False,0.34832254191860557,29.86741179181263,0.16836616699583828,10.87795931977326,6.228432003785729,4.5178116951636405,8,0.875,7.409469823274425,5.244614204989287,0.003654250211967164,0.4444444444444444,0.2222222222222222,0.4444444444444444,1.5,0.8888888888888888,0.8888888888888888,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65282525049406,0.02043455221792101,-8.024310557686043e-06,459.83598043216915,666.6196431907774,0.04277588133521231,419.52255352183397,16.085275694914447,5.684844459265036,False,False,0.8453865336658354,0.022443890274314215,low_scatter
1849702,5,confirmed_planet_host,success,optimized,372.2869746249635,False,False,False,filter,18,18,1.0,8,8,8,True,0.3989146670792252,31.127884166082367,0.3681333330459893,13.487495831943983,6.440870981260444,4.550835796070433,6,0.8333333333333334,11.139379793264423,3.74909523830221,0.004522993624127856,0.6666666666666666,0.3888888888888889,0.5,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,4634,4485,0.9678463530427277,0.0321536469572723,94.65257272167946,0.020434515754459426,-3.5433595869438506e-05,358.803277129436,443.72546003921684,0.3549742624179406,245.7729619525827,16.085275694914447,5.684844459265036,False,False,0.6758104738154613,0.42144638403990026,low_scatter
1871056,5,confirmed_planet_host,success,optimized,307.6198250830639,False,False,False,filter,18,18,1.0,8,8,8,True,0.3150955829769373,24.916845582891256,0.13301129220053554,13.212070690230078,6.323982400207444,4.674509475398291,8,0.75,11.984328109369791,3.9255690549698796,0.00184862016981457,0.7777777777777778,0.6111111111111112,0.6666666666666666,1.0,1.0,1.0,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.6528018633544,0.020434547128388658,5.1317917431070725e-06,176.2158497586388,229.74652065858703,0.27411889976570675,123.1495629545986,16.085275694914447,5.684844459265036,False,False,0.7655860349127181,0.341645885286783,lowest_scatter
