target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,period_ratio,period_pattern,max_ses_to_mes_ratio,event_support_fraction,single_event_dominance_flag,recovered_period_cluster
12645975,5,gap_heavy,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.609148362535052,455.3015103537691,9.80839521624148,25.363013050705263,20.667918176130193,3,7,0.4285714285714285,666,20,5.804574181267526,False,False,0.4217014997266233,db6,43,686,7,0.0132896961208007,0.0001999774358178,225,6.804574181267526,unrelated,0.814884183311,0.42857142857142855,True,4
12645975,5,gap_heavy,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.34880236229947,3.923358086496592,47.15037600934835,22.442570420001843,27,47,0.574468085106383,98,8,0.0012736783246509,True,True,0.41013512481004,db6,43,686,7,0.0209786415672256,0.0004999900603063,424,1.001273678324651,P,0.4759786097050897,0.574468085106383,False,0
12645975,5,gap_heavy,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,11,16,0.6875,290,16,0.1851810886291787,False,False,0.4300477500073612,db6,43,686,7,0.0210136524520293,0.0004999857716809,98,1.1851810886291787,unrelated,0.6883597510067901,0.6875,False,2
12645975,5,gap_heavy,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.76103698692896,8.0,0.0002,0.45,True,,10.830103051266631,445.2274711004211,9.80839521624148,29.343813624841314,25.926078043379892,4,9,0.4444444444444444,530,20,1.1660206102533266,False,False,0.4002655423246324,db6,43,686,7,0.0132623428976322,0.0001999999873457,305,2.166020610253326,unrelated,0.8835279004577612,0.4444444444444444,True,3
12645975,5,gap_heavy,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.01103698692896,4.0,0.0002,0.15,True,,13.609148362535052,455.2810761970686,9.80839521624148,26.46813759992034,21.275429957940517,3,7,0.4285714285714285,666,20,0.3609148362535052,False,False,0.3976576249115169,db6,43,686,7,0.0132676443400281,0.000199996334662,85,1.3609148362535053,unrelated,0.8038128817195113,0.42857142857142855,True,4
12645975,5,gap_heavy,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.01103698692896,8.0,0.0005,0.75,True,,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,11,19,0.5789473684210527,245,12,0.4993631608376745,False,True,0.3973725838586688,db6,43,686,7,0.0209698318997982,0.000499998527042,153,0.5006368391623255,P/2,0.7684790831062136,0.5789473684210527,False,1
1431344,5,gap_heavy,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8104384814404,2.0,0.0002,0.15,True,,12.260731088463215,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,3,8,0.375,600,20,5.1303655442316085,False,False,0.4030444999225437,db6,44,686,7,0.0132896972821566,0.0001999998500695,229,6.130365544231608,unrelated,0.9152040965271842,0.375,True,1
1431344,5,gap_heavy,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,3,8,0.375,591,20,5.038410061068134,False,False,0.4020114578306675,db6,44,686,7,0.0209786420211848,0.0004999999974948,418,6.038410061068134,unrelated,0.9308764273389651,0.375,True,0
1431344,5,gap_heavy,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2604384814403,2.0,0.0005,0.75,True,,12.260731088463215,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,3,8,0.375,600,20,1.4521462176926434,False,False,0.4010360408574343,db6,44,686,7,0.0210136543129686,0.0004999894170547,96,2.452146217692643,unrelated,0.9221294877814074,0.375,True,1
1431344,5,gap_heavy,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7604384814403,8.0,0.0002,0.45,True,,12.260731088463215,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,3,8,0.375,600,20,1.4521462176926434,False,False,0.4000461669638753,db6,44,686,7,0.0132623429668458,0.0001999999213361,305,2.452146217692643,unrelated,0.8901811832991321,0.375,True,1
