trial,max_power,best_period,best_duration,best_epoch,best_depth
0,41.99211575704957,6.955955955955956,0.41875,445.53935190278133,9.647813920936887e-05
1,45.12987649598818,6.941941941941942,0.3125,447.64872690278133,0.00012368112966286852
2,43.46699173097342,2.751751751751752,0.41875,444.73310190278136,6.780761106964464e-05
3,41.06248215927999,13.73873873873874,0.41875,451.40185190278135,0.00013099865596849812
4,44.15243590937385,13.542542542542542,0.41875,449.9581019027813,0.00015214727383813784
5,41.94362040277533,2.8078078078078077,0.41875,444.43310190278135,6.586280969276981e-05
6,49.87706915292119,12.491491491491491,0.41875,444.02685190278135,0.00015026284305001
7,54.018051446082204,10.431431431431431,0.41875,451.6768519027813,0.00015720377515871125
8,52.71646899390342,8.525525525525525,0.41875,446.37685190278137,0.00013566918657132224
9,49.99195454565351,14.92992992992993,0.3125,453.26747690278137,0.00019772649856793564
10,37.45219081489753,4.2792792792792795,0.36875,446.32685190278136,7.501661166990001e-05
11,53.37817893270074,5.764764764764765,0.41875,449.09560190278137,0.0001150708041429504
12,55.06287841373137,14.06106106106106,0.41875,452.75810190278133,0.00017556564372556727
13,41.420094584170975,8.18918918918919,0.41875,447.20185190278136,0.00010522604344724873
14,44.962020299754734,4.055055055055055,0.41875,445.87060190278135,8.259516733683321e-05
15,52.19738723216131,11.23023023023023,0.36875,445.45185190278136,0.00015770506291844312
16,49.005631520607295,3.6346346346346348,0.41875,444.43935190278137,8.523112355727007e-05
17,49.43306963052646,13.094094094094094,0.41875,455.3956019027813,0.0001576723594786699
18,49.30024870006509,5.5825825825825826,0.41875,444.28935190278133,0.00010440340982052418
19,52.74499869353164,14.243243243243244,0.41875,457.28310190278137,0.0001789403976268656
20,51.095615644321306,12.771771771771771,0.41875,445.79560190278136,0.00015122527435478607
21,50.38322080944674,13.192192192192191,0.41875,452.75185190278137,0.00016129934489541263
22,45.65712227286996,7.586586586586587,0.41875,446.02685190278135,0.00011027202953305915
23,47.233431559188375,8.525525525525525,0.41875,447.01435190278136,0.00012233711788495817
24,50.48824160155678,12.883883883883884,0.41875,446.75810190278133,0.00015071133413625107
25,47.43388822227418,9.408408408408409,0.41875,444.8643519027813,0.0001279232790023588
26,50.08539048715375,13.332332332332332,0.41875,450.6768519027813,0.00017058378155244866
27,36.13562696937743,9.464464464464465,0.41875,445.3331019027813,9.768634210930479e-05
28,55.70007667404198,4.601601601601601,0.3125,447.24247690278133,0.0001243977905530474
29,49.4730478295548,13.122122122122121,0.21250000000000002,450.39872690278133,0.0002206486572783706
30,49.03313857541121,8.147147147147148,0.41875,447.85185190278133,0.0001209103985295134
31,44.2883317488867,11.412412412412412,0.21250000000000002,450.09247690278136,0.00018646151407057153
32,51.723421210702554,13.486486486486486,0.41875,446.2706019027813,0.00016395385582027562
33,48.4255625479607,6.703703703703703,0.41875,446.41435190278133,0.00011201179459338192
34,41.99759120851082,9.24024024024024,0.41875,450.28935190278133,0.00011377441832534734
35,39.72607616083119,6.241241241241241,0.41875,446.93935190278137,8.845128501490951e-05
36,48.160588990788625,5.61061061061061,0.41875,447.73310190278136,0.0001054491156307255
37,53.24032046295351,7.894894894894895,0.41875,451.25185190278137,0.0001347120376667233
38,53.75769200486061,14.481481481481481,0.36875,449.65185190278135,0.00018370930971494184
39,44.18123423295178,13.052052052052051,0.41875,445.53935190278133,0.00013265675094918105
40,45.935975944429,5.638638638638638,0.41875,446.72060190278137,9.725656381267487e-05
41,50.68353613209847,7.39039039039039,0.41875,445.78935190278133,0.00012451495849138776
